consumption,sun,rainfall,wind
1778518.776,3,0.9015152,0.19193548
1723577.852,0,0.9015152,0.19527349
1698693.175,0,0,0.14687237
1725020.935,0,0,0.17107293
1845525.945,0,0,0.14353436
1992857.421,0,0,0.09596774
1983336.265,0,0,0.11432679
1912300.146,0,0,0.105147265
1827952.832,0,0,0.065925665
1798202.789,0,0,0.04255961
1742762.05,0,0,0.033380084
1668340.784,0,0,0.057580646
1657120.504,0,0,0.039221596
1642507.11,0,0,0.060084153
1632962.438,0,0,0.045063116
1604970.166,0,0,0.084284715
1686503.284,0,0,0.09930575
1860110.106,0,0,0.11182328
2084497.889,0,0.9015152,0.12600982
2276725.59,0,0,0.09930575
2302134.498,10,0,0.065925665
2326850.529,34,0,0.057580646
2288678.564,32,0,0.045063116
2286523.171,32,0,0.039221596
2230592.534,1.5,0,0.056746144
2241083.747,0,0,0.051739126
2216038.065,0,0,0.060084153
2227840.476,0,0,0.056746144
2274915.39,0,0,0.069263674
2327507.612,0,0,0.086788215
2257268.794,0,0,0.069263674
2128893.33,0,0,0.07176718
2008787.751,0,0,0.105147265
1952627.172,0,0,0.09596774
1930211.09,0,0,0.084284715
1832127.254,0,0,0.084284715
1821746.49,0,0,0.07844319
1800569.12,0,0,0.084284715
1773631.701,0,0,0.053408135
1723391.421,0,0,0.054242637
1755666.187,0,0,0.041725107
1906834.532,0,0,0.048401125
2114527.123,0,0,0.0817812
2312423.447,0,0,0.04255961
2309380.13,0,0,0.056746144
2337717.979,0,0,0.04756662
2313361.336,0,0,0.06258766
2314184.323,0,0,0.041725107
2293741.29,0,0,0.032545585
2291202.714,0,0.9015152,0.030042076
2246633.105,0,1.8030304,0.054242637
2221726.093,0,0.9015152,0.09930575
2254478.449,0,0,0.12934782
2314624.333,0,0,0.101809256
2235656.586,0,0,0.045063116
2117998.855,0,0,0.045063116
1992001.104,0,0,0.06342216
1930284.32,0,0,0.0776087
1867457.298,0,0.9015152,0.084284715
1792146.068,0,0,0.105147265
1776376.947,0,0,0.09346423
1753231.537,0,0,0.084284715
1731165.08,0,0,0.12851332
1661287.276,0,0,0.101809256
1728182.183,0,0,0.09596774
1882727.479,0,0,0.07510519
2102305.811,0,0,0.09012623
2290860.114,0,0,0.07844319
2293917.325,2.5,0,0.08345021
2300199.841,30,0,0.07176718
2259678.597,30,4.507576,0.09012623
2266776.103,6,4.507576,0.065925665
2212759.86,0,2.7045455,0.084284715
2201975.168,0,3.6060607,0.065925665
2181179.432,0,0.9015152,0.07176718
2188883.537,0,0,0.054242637
2210040.179,0,2.7045455,0.04255961
2295619.419,0,1.8030304,0.069263674
2213000.207,0,1.8030304,0.07844319
2098631.138,0,0.9015152,0.054242637
1994056.342,0,0,0.069263674
1915929.773,0,2.7045455,0.07260168
1827634.397,0,1.8030304,0.069263674
1754882.65,0,2.7045455,0.105147265
1742241.787,0,0,0.17107293
1711097.06,0,0.9015152,0.13185133
1702883.079,0,0,0.069263674
1634969.783,0,0,0.09012623
1679648.323,0,0,0.07844319
1831337.321,0,0,0.056746144
2059140.612,0,0,0.050904628
2252361.092,0,0,0.065925665
2263701.338,0,0,0.09262974
2294168.724,0,0,0.0809467
2263717.443,0,0,0.06676017
2254609.202,0,0,0.069263674
2212496.912,0,0,0.11349229
2207980.801,0,0.9015152,0.065925665
2178862.546,0,0,0.07260168
2192010.631,0,0,0.101809256
2235489.116,0,1.8030304,0.069263674
2251806.551,0,3.6060607,0.14353436
2205196.864,0,4.507576,0.1618934
2085108.264,0,8.113637,0.13852735
1963669.828,0,4.507576,0.17107293
1894376.881,0,7.2121215,0.16523142
1814450.602,0,8.113637,0.17691445
1725267.745,0,2.7045455,0.15021038
1703682.856,0,5.409091,0.17441094
1683365.627,0,1.8030304,0.17107293
1682491.355,0,1.8030304,0.23115708
1638376.031,0,2.7045455,0.33296636
1718944.76,0,0.9015152,0.34214586
1862330.824,0,0,0.31293827
2079225.822,0,0.9015152,0.3179453
2275959.192,0,0,0.2762202
2286310.131,5,0,0.24701263
2337329.807,0,1.8030304,0.30042076
2276644.882,0,0.9015152,0.2728822
2288741.036,0,0.9015152,0.2795582
2266057.796,0,0,0.23199157
2243503.542,0,3.6060607,0.18275595
2209830.294,0,1.8030304,0.36050493
2181411.352,0,1.8030304,0.3121038
2213037.297,0,1.8030304,0.24033661
2276923.413,0,0.9015152,0.23115708
2204777.037,0,1.8030304,0.21947405
